id,name,nameZh,description,implemented,implementation_detail,notes,status
65,overgrow,茂盛,ＨＰ减少的时候， 草属性的招式威力会提高。,YES,HP <= 1/3 时草系招式威力 ×1.5,,
34,chlorophyll,叶绿素,晴朗天气时， 速度会提高。,YES,大晴天时速度 ×2,,
66,blaze,猛火,ＨＰ减少的时候， 火属性的招式威力会提高。,YES,HP <= 1/3 时火系招式威力 ×1.5,,
94,solar-power,太阳之力,晴朗天气时， 特攻会提高， 而每回合ＨＰ会减少。,,,,
67,torrent,激流,ＨＰ减少的时候， 水属性的招式威力会提高。,YES,HP <= 1/3 时水系招式威力 ×1.5,,
44,rain-dish,雨盘,下雨天气时， 会缓缓回复ＨＰ。,YES,下雨时每回合末回复 HP 1/16,,
19,shield-dust,鳞粉,被鳞粉守护着， 不会受到招式的追加效果影响。,YES,不受攻击技能附加效果影响,,
50,run-away,逃跑,一定能从野生宝可梦 那儿逃走。,,,,
61,shed-skin,蜕皮,通过蜕去身上的皮， 有时会治愈异常状态。,YES,每回合末 33% 几率治愈异常状态,,
14,compound-eyes,复眼,因为拥有复眼， 招式的命中率会提高。,YES,自身招式命中率 ×1.3,,
110,tinted-lens,有色眼镜,可以将效果不好的招式 以通常的威力使出。,YES,效果不好(克制倍率<1)的招式威力 ×2,,
68,swarm,虫之预感,ＨＰ减少的时候， 虫属性的招式威力会提高。,YES,HP <= 1/3 时虫系招式威力 ×1.5,,
97,sniper,狙击手,击中要害时， 威力会变得更强。,,,,
51,keen-eye,锐利目光,多亏了锐利的目光， 命中率不会被降低。,YES,命中率不会被降低,,
77,tangled-feet,蹒跚,在混乱状态时， 闪避率会提高。,YES,混乱状态下对方对自己的命中率 ×0.5,,
145,big-pecks,健壮胸肌,不会受到防御降低的效果。,,,,
62,guts,毅力,如果变为异常状态， 会拿出毅力， 攻击会提高。,YES,处于异常状态时物理招式威力 ×1.5,注意，如果处于烧伤状态的话，烧伤状态的物理攻击减半要失效,
55,hustle,活力,自己的攻击变高， 但命中率会降低。,YES,物理招式威力 ×1.5，但命中率 ×0.8,,
22,intimidate,威吓,出场时威吓对手， 让其退缩， 降低对手的攻击。,YES,出场时降低对方攻击 1 级,,
127,unnerve,紧张感,让对手紧张， 使其无法食用树果。,,,,
9,static,静电,身上带有静电， 有时会让接触到的对手麻痹。,YES,受到接触攻击时 30% 使对方麻痹,tags：接触类,
31,lightning-rod,避雷针,将电属性的招式吸引到自己身上， 不会受到伤害，而是会提高特攻。,YES,免疫电系伤害并回复 HP 25%，特攻提升(标记),你这里的标记什么意思，这里的吸引电属性招式只有双打存在两个目标选择才会有吸引的效果，单打不用考虑,
8,sand-veil,沙隐,在沙暴的时候， 闪避率会提高。,YES,沙暴时对方对自己的命中率 ×0.8,,
146,sand-rush,拨沙,沙暴天气时， 速度会提高。,YES,沙暴时速度 ×2,,
38,poison-point,毒刺,有时会让接触到自己的 对手变为中毒状态。,YES,受到接触攻击时 30% 使其中毒,tags：接触类,
79,rivalry,斗争心,面对性别相同的对手， 会燃起斗争心，变得更强。 而面对性别不同的，则会变弱。,,,,
125,sheer-force,强行,招式的追加效果消失， 但因此能以更高的威力使出招式。,,,,
56,cute-charm,迷人之躯,有时会让接触到自己的对手着迷。,YES,受到接触攻击时 30% 使对方着迷(无实际效果),tags：接触类。着迷应该是一个状态，着迷状态的宝可梦使用指令时50%几率不能行动,
98,magic-guard,魔法防守,不会受到攻击以外的伤害。,,,,
132,friend-guard,友情防守,可以减少我方的伤害。,YES,受到的伤害 ×0.75,,
109,unaware,纯朴,可以无视对手能力的变化， 进行攻击。,,,,
18,flash-fire,引火,受到火属性的招式攻击时， 吸收火焰，自己使出的 火属性招式会变强。,YES,免疫火系伤害，之后自身火系招式 ×1.5,,
70,drought,日照,出场时， 会将天气变为晴朗。,YES,出场时天气变为大晴天,,
172,competitive,好胜,如果能力被降低， 特攻就会大幅提高。,YES,能力被降低时特攻提升 2 级,,
