id,name,nameZh,type,category,power,accuracy,pp,description,effect,tags,notes
173,snore,打鼾,normal,special,50,100,15,在自己睡觉时， 发出噪音进行攻击。 有时会使对手畏缩。,,声音类,30%几率畏缩
237,hidden-power,觉醒力量,normal,special,60,100,15,招式的属性会随着 使用此招式的宝可梦而改变。,,,
92,toxic,剧毒,poison,status,0,90,10,让对手陷入剧毒状态。 随着回合的推进， 中毒伤害会增加。,变化招式,,
102,mimic,模仿,normal,status,0,100,10,可以将对手 最后使用的招式， 在战斗内变成自己的招式。,,,
104,double-team,影子分身,normal,status,0,100,15,通过快速移动来制造分身， 扰乱对手，从而提高闪避率。,变化招式,,
156,rest,睡觉,psychic,status,0,100,5,连续睡上２回合。 回复自己的全部ＨＰ 以及治愈所有异常状态。,变化招式,,
164,substitute,替身,normal,status,0,100,10,削减少许自己的ＨＰ， 制造分身。 分身将成为自己的替身。,变化招式,,
182,protect,守住,normal,status,0,100,10,完全抵挡 对手的攻击。 连续使出则容易失败。,变化招式,守住类,若上一回合成功使用守住类技能，则这一回合继续使用的话成功概率会变成上次的1/3，比如第一回合使用是100，第二回合继续用就变成100/3，第三回合继续用就变成100/9
203,endure,挺住,normal,status,0,100,10,即使受到攻击， 也至少会留下１ＨＰ。 连续使出则容易失败。,变化招式,,
207,swagger,虚张声势,normal,status,0,85,15,激怒对手，使其混乱。 因为愤怒，对手的攻击 会大幅提高。,变化招式,,
214,sleep-talk,梦话,normal,status,0,100,10,从自己已学会的招式中 任意使出１个。 只能在自己睡觉时使用。,,,
216,return,报恩,normal,physical,0,100,20,为了训练家而 全力攻击对手。 亲密度越高，威力越大。,,接触类,
218,frustration,迁怒,normal,physical,0,100,20,为了发泄不满而 全力攻击对手。 亲密度越低，威力越大。,,接触类,
263,facade,硬撑,normal,physical,70,100,20,当自己处于中毒、麻痹、灼伤状态时， 向对手使出此招式的话， 威力会变成２倍。,,接触类,
290,secret-power,秘密之力,normal,physical,70,100,20,根据使用场所不同， 该招式的追加效果也会有所变化。,,,
363,natural-gift,自然之恩,normal,physical,0,100,15,从树果上获得力量进行攻击。 根据携带的树果， 招式属性和威力会改变。,,,
496,round,轮唱,normal,special,60,100,15,用歌声攻击对手。 同伴还可以接着使出轮唱招式， 威力也会提高。,,声音类,
590,confide,密语,normal,status,0,100,20,和对手进行密语， 使其失去集中力， 从而降低对手的特攻。,变化招式,声音类,
38,double-edge,舍身冲撞,normal,physical,120,100,15,拼命地猛撞向对手进行攻击。 自己也会受到不小的伤害。,反伤 33%,接触类;反伤类,
213,attract,迷人,normal,status,0,100,15,♂诱惑♀或♀诱惑♂， 让对手着迷。 对手将很难使出招式。,,,
445,captivate,诱惑,normal,status,0,100,20,♂诱惑♀或♀诱惑♂， 从而大幅降低对手的特攻。,变化招式,,
29,headbutt,头锤,normal,physical,70,100,15,将头伸出， 笔直地扑向对手进行攻击。 有时会使对手畏缩。,30%，畏缩,接触类,30几率畏缩
36,take-down,猛撞,normal,physical,90,85,20,以惊人的气势 撞向对手进行攻击。 自己也会受到少许伤害。,反伤 25%,接触类;反伤类,
34,body-slam,泰山压顶,normal,physical,85,100,15,用整个身体 压住对手进行攻击。 有时会让对手陷入麻痹状态。,30%，麻痹,接触类,
240,rain-dance,求雨,water,status,0,100,5,在５回合内一直降雨， 从而提高水属性的招式威力。 火属性的招式威力则降低。,变化招式,,火属性招式威力减半
241,sunny-day,大晴天,fire,status,0,100,5,在５回合内阳光变得强烈， 从而提高火属性的招式威力。 水属性的招式威力则降低。,变化招式,,水属性招式威力减半
174,curse,诅咒,ghost,status,0,100,10,使用该招式的宝可梦， 其属性是幽灵属性或其他属性时， 效果会不一样。,变化招式,,
189,mud-slap,掷泥,ground,special,20,100,10,向对手的脸等 投掷泥块进行攻击。 会降低对手的命中率。,必定，对方命中 -1,,
851,tera-blast,太晶爆发,normal,special,80,100,10,,,,
270,helping-hand,帮助,normal,status,0,100,20,帮助伙伴。 被帮助的宝可梦， 其招式威力变得比平时大。,,,
129,swift,高速星星,normal,special,60,100,20,发射星形的光攻击对手。 攻击必定会命中。,必定命中,,
249,rock-smash,碎岩,fighting,physical,40,100,15,用拳头进行攻击。 有时会降低对手的防御。,50%，对方防御 -1,接触类,
168,thief,小偷,dark,physical,60,100,25,攻击的同时盗取道具。 当自己携带道具时， 不会去盗取。,,接触类,
416,giga-impact,终极冲击,normal,physical,150,90,5,使出自己浑身力量突击对手。 下一回合自己将无法动弹。,攻击后下回合不能动,接触类,
63,hyper-beam,破坏光线,normal,special,150,90,5,向对手发射 强烈的光线进行攻击。 下一回合自己将无法动弹。,攻击后下回合不能动,,
70,strength,怪力,normal,physical,80,100,15,使出浑身力气 殴打对手进行攻击。,,接触类,
91,dig,挖洞,ground,physical,80,100,10,第１回合钻入， 第２回合攻击对手。,需要一回合蓄力,接触类,
117,bide,忍耐,normal,physical,0,100,10,在２回合内忍受攻击， 受到的伤害会 ２倍返还给对手。,,,
196,icy-wind,冰冻之风,ice,special,55,95,15,将结冰的冷气 吹向对手进行攻击。 会降低对手的速度。,必定，对方速度 -1,风类,
