dexId,name,nameZh,types,hp,atk,def,spa,spd,spe,abilityIds
1,bulbasaur,妙蛙种子,Type.Grass, Type.Poison,45,49,49,65,65,45,overgrow
2,ivysaur,妙蛙草,Type.Grass, Type.Poison,60,62,63,80,80,60,overgrow
3,venusaur,妙蛙花,Type.Grass, Type.Poison,80,82,83,100,100,80,overgrow
4,charmander,小火龙,Type.Fire, null,39,52,43,60,50,65,blaze
5,charmeleon,火恐龙,Type.Fire, null,58,64,58,80,65,80,blaze
6,charizard,喷火龙,Type.Fire, Type.Flying,78,84,78,109,85,100,blaze
7,squirtle,杰尼龟,Type.Water, null,44,48,65,50,64,43,torrent
8,wartortle,卡咪龟,Type.Water, null,59,63,80,65,80,58,torrent
9,blastoise,水箭龟,Type.Water, null,79,83,100,85,105,78,torrent
10,caterpie,绿毛虫,Type.Bug, null,45,30,35,20,20,45,shield-dust
11,metapod,铁甲蛹,Type.Bug, null,50,20,55,25,25,30,shed-skin
12,butterfree,巴大蝶,Type.Bug, Type.Flying,60,45,50,90,80,70,compound-eyes
13,weedle,独角虫,Type.Bug, Type.Poison,40,35,30,20,20,50,shield-dust
14,kakuna,铁壳蛹,Type.Bug, Type.Poison,45,25,50,25,25,35,shed-skin
15,beedrill,大针蜂,Type.Bug, Type.Poison,65,90,40,45,80,75,swarm
16,pidgey,波波,Type.Normal, Type.Flying,40,45,40,35,35,56,keen-eye;tangled-feet
17,pidgeotto,比比鸟,Type.Normal, Type.Flying,63,60,55,50,50,71,keen-eye;tangled-feet
18,pidgeot,大比鸟,Type.Normal, Type.Flying,83,80,75,70,70,101,keen-eye;tangled-feet
19,rattata,小拉达,Type.Normal, null,30,56,35,25,35,72,run-away;guts
20,raticate,拉达,Type.Normal, null,55,81,60,50,70,97,run-away;guts
21,spearow,烈雀,Type.Normal, Type.Flying,40,60,30,31,31,70,keen-eye
22,fearow,大嘴雀,Type.Normal, Type.Flying,65,90,65,61,61,100,keen-eye
23,ekans,阿柏蛇,Type.Poison, null,35,60,44,40,54,55,intimidate;shed-skin
24,arbok,阿柏怪,Type.Poison, null,60,95,69,65,79,80,intimidate;shed-skin
